NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_REGULATION_OF_T_CELL_CHEMOTAXIS	GO_REGULATION_OF_T_CELL_CHEMOTAXIS	Details ...	16	-0.7115685	-1.6870102	0.0055762082	0.6228134	1.0	3298	tags=56%, list=17%, signal=68%	
GO_POSITIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION	GO_POSITIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION	Details ...	20	-0.6803371	-1.6862072	0.0074211503	0.586817	1.0	1973	tags=40%, list=10%, signal=44%	
GO_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT	GO_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT	Details ...	32	-0.60293734	-1.6845024	0.012006861	0.5610824	1.0	2863	tags=28%, list=15%, signal=33%	
GO_GLUCOCORTICOID_METABOLIC_PROCESS	GO_GLUCOCORTICOID_METABOLIC_PROCESS	Details ...	18	-0.6954461	-1.6771915	0.011049724	0.5757416	1.0	4482	tags=44%, list=23%, signal=58%	
GO_PROTEIN_DISULFIDE_OXIDOREDUCTASE_ACTIVITY	GO_PROTEIN_DISULFIDE_OXIDOREDUCTASE_ACTIVITY	Details ...	20	-0.67928416	-1.6758512	0.006837607	0.5529266	1.0	4097	tags=50%, list=21%, signal=63%	
GO_DEVELOPMENTAL_INDUCTION	GO_DEVELOPMENTAL_INDUCTION	Details ...	25	-0.6347246	-1.6754962	0.003508772	0.5258452	1.0	714	tags=16%, list=4%, signal=17%	
GO_INTERCALATED_DISC	GO_INTERCALATED_DISC	Details ...	42	-0.57100135	-1.6716053	0.0035778175	0.5215645	1.0	1303	tags=26%, list=7%, signal=28%	
GO_SEMAPHORIN_RECEPTOR_BINDING	GO_SEMAPHORIN_RECEPTOR_BINDING		21	-0.6613012	-1.67021	0.0055350554	0.50539494	1.0	2417	tags=29%, list=12%, signal=33%	
GO_POLE_PLASM	GO_POLE_PLASM		16	-0.71429473	-1.6691712	0.0036630037	0.48807615	1.0	3803	tags=31%, list=19%, signal=39%	
GO_LYMPHOCYTE_CHEMOTAXIS	GO_LYMPHOCYTE_CHEMOTAXIS		56	-0.54270685	-1.6682451	0.0054347827	0.47248918	1.0	4984	tags=43%, list=25%, signal=57%	
GO_COFACTOR_CATABOLIC_PROCESS	GO_COFACTOR_CATABOLIC_PROCESS		49	-0.56510025	-1.6657413	0.0018450185	0.46594876	1.0	3755	tags=39%, list=19%, signal=48%	
GO_RETINA_HOMEOSTASIS	GO_RETINA_HOMEOSTASIS		50	-0.5659733	-1.6607028	0.0017361111	0.47353908	1.0	815	tags=16%, list=4%, signal=17%	
GO_LYMPH_NODE_DEVELOPMENT	GO_LYMPH_NODE_DEVELOPMENT		17	-0.6855673	-1.6601757	0.0074211503	0.45809147	1.0	3024	tags=41%, list=15%, signal=49%	
GO_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	GO_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION		33	-0.6065504	-1.6573001	0.0018518518	0.4570863	1.0	1767	tags=27%, list=9%, signal=30%	
GO_RESPONSE_TO_IRON_ION	GO_RESPONSE_TO_IRON_ION		31	-0.600412	-1.6399336	0.008833922	0.5388121	1.0	2146	tags=32%, list=11%, signal=36%	
GO_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	GO_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION		25	-0.62219876	-1.6366677	0.005514706	0.537434	1.0	2415	tags=40%, list=12%, signal=46%	
GO_MESENCHYMAL_TO_EPITHELIAL_TRANSITION	GO_MESENCHYMAL_TO_EPITHELIAL_TRANSITION		15	-0.6974518	-1.6304126	0.024253732	0.5588003	1.0	5146	tags=40%, list=26%, signal=54%	
GO_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	GO_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS		34	-0.5887297	-1.6282305	0.0035714286	0.5539662	1.0	2243	tags=35%, list=11%, signal=40%	
GO_RENAL_FILTRATION	GO_RENAL_FILTRATION		22	-0.6416752	-1.6143994	0.0052173915	0.6241072	1.0	39	tags=14%, list=0%, signal=14%	
GO_T_CELL_MIGRATION	GO_T_CELL_MIGRATION		64	-0.51315635	-1.6074278	0.0018382353	0.64997643	1.0	3298	tags=41%, list=17%, signal=49%	
GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX		129	-0.45926005	-1.6047419	0.0	0.64890414	1.0	4614	tags=43%, list=23%, signal=55%	
GO_ANCHORED_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	GO_ANCHORED_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE		16	-0.67622113	-1.6032984	0.008787346	0.6399058	1.0	2384	tags=38%, list=12%, signal=43%	
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS		26	-0.6071551	-1.6026999	0.007352941	0.6262616	1.0	1966	tags=42%, list=10%, signal=47%	
GO_RESPIRATORY_CHAIN_COMPLEX_IV	GO_RESPIRATORY_CHAIN_COMPLEX_IV		18	-0.66954976	-1.6026664	0.018050542	0.609636	1.0	1811	tags=39%, list=9%, signal=43%	
GO_RESPONSE_TO_NICOTINE	GO_RESPONSE_TO_NICOTINE		36	-0.562878	-1.5975826	0.012987013	0.62288946	1.0	3339	tags=39%, list=17%, signal=47%	
GO_COMPLEX_OF_COLLAGEN_TRIMERS	GO_COMPLEX_OF_COLLAGEN_TRIMERS		20	-0.6397004	-1.5927426	0.01618705	0.6377912	1.0	3982	tags=35%, list=20%, signal=44%	
GO_RECEPTOR_MEDIATED_ENDOCYTOSIS	GO_RECEPTOR_MEDIATED_ENDOCYTOSIS		284	-0.41939375	-1.5901192	0.0	0.6386999	1.0	2385	tags=23%, list=12%, signal=26%	
GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		16	-0.66839206	-1.5805919	0.020257827	0.68543	1.0	3106	tags=44%, list=16%, signal=52%	
GO_POSITIVE_REGULATION_OF_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	GO_POSITIVE_REGULATION_OF_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE		34	-0.5616439	-1.5721409	0.013986014	0.727311	1.0	3581	tags=44%, list=18%, signal=54%	
GO_CYTOKINE_ACTIVITY	GO_CYTOKINE_ACTIVITY		159	-0.44124767	-1.5719049	0.0	0.71168965	1.0	2803	tags=21%, list=14%, signal=25%	
GO_NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION	GO_NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION		30	-0.5827622	-1.5718243	0.024822695	0.6961603	1.0	2522	tags=40%, list=13%, signal=46%	
GO_NEGATIVE_REGULATION_OF_AXON_GUIDANCE	GO_NEGATIVE_REGULATION_OF_AXON_GUIDANCE		25	-0.5947664	-1.5701343	0.013592233	0.69213116	1.0	2417	tags=24%, list=12%, signal=27%	
GO_REGULATION_OF_CELL_AGING	GO_REGULATION_OF_CELL_AGING		47	-0.5271722	-1.5626856	0.0070546735	0.72621655	1.0	1484	tags=23%, list=8%, signal=25%	
GO_HOMOTYPIC_CELL_CELL_ADHESION	GO_HOMOTYPIC_CELL_CELL_ADHESION		75	-0.48370048	-1.5619575	0.0	0.71578366	1.0	2415	tags=23%, list=12%, signal=26%	
GO_G_PROTEIN_ALPHA_SUBUNIT_BINDING	GO_G_PROTEIN_ALPHA_SUBUNIT_BINDING		21	-0.61804533	-1.56112	0.020446097	0.7059123	1.0	3553	tags=43%, list=18%, signal=52%	
GO_NEGATIVE_CHEMOTAXIS	GO_NEGATIVE_CHEMOTAXIS		37	-0.5532196	-1.5594468	0.018083183	0.7028025	1.0	3538	tags=24%, list=18%, signal=30%	
GO_POSTSYNAPTIC_CYTOSOL	GO_POSTSYNAPTIC_CYTOSOL		18	-0.6217539	-1.5569981	0.035906643	0.70559084	1.0	3738	tags=44%, list=19%, signal=55%	
GO_REGULATION_OF_METANEPHROS_DEVELOPMENT	GO_REGULATION_OF_METANEPHROS_DEVELOPMENT		18	-0.64257705	-1.5560589	0.026690392	0.69826585	1.0	1612	tags=28%, list=8%, signal=30%	
GO_CHEMOKINE_ACTIVITY	GO_CHEMOKINE_ACTIVITY		44	-0.5289208	-1.5508953	0.020797227	0.71867156	1.0	5225	tags=39%, list=27%, signal=53%	
GO_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY	GO_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY		36	-0.55446094	-1.5484136	0.013011153	0.7216693	1.0	2417	tags=25%, list=12%, signal=28%	
GO_LYMPHANGIOGENESIS	GO_LYMPHANGIOGENESIS		15	-0.6684563	-1.5474905	0.022429906	0.71404487	1.0	2111	tags=33%, list=11%, signal=37%	
GO_CYTOCHROME_COMPLEX	GO_CYTOCHROME_COMPLEX		30	-0.56061655	-1.5468664	0.027075812	0.7053506	1.0	4908	tags=50%, list=25%, signal=67%	
GO_IMMUNOGLOBULIN_COMPLEX	GO_IMMUNOGLOBULIN_COMPLEX		129	-0.44391376	-1.5455906	0.003322259	0.70135766	1.0	2380	tags=40%, list=12%, signal=46%	
GO_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	GO_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT		134	-0.43807754	-1.5423071	0.007017544	0.7111152	1.0	3413	tags=26%, list=17%, signal=31%	
GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT		20	-0.6130274	-1.538453	0.030520646	0.72319436	1.0	4651	tags=50%, list=24%, signal=65%	
GO_RESPONSE_TO_INTERFERON_BETA	GO_RESPONSE_TO_INTERFERON_BETA		24	-0.59958994	-1.5374808	0.022514071	0.7167881	1.0	975	tags=25%, list=5%, signal=26%	
GO_POSITIVE_REGULATION_OF_MESONEPHROS_DEVELOPMENT	GO_POSITIVE_REGULATION_OF_MESONEPHROS_DEVELOPMENT		17	-0.63651615	-1.5365063	0.02757353	0.7109665	1.0	4537	tags=24%, list=23%, signal=31%	
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION	GO_POSITIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION		43	-0.523198	-1.5356996	0.012433393	0.7041521	1.0	3581	tags=40%, list=18%, signal=48%	
GO_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS	GO_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS		18	-0.6417319	-1.5332843	0.023593467	0.7081641	1.0	307	tags=22%, list=2%, signal=23%	
GO_RESPIRATORY_CHAIN_COMPLEX	GO_RESPIRATORY_CHAIN_COMPLEX		80	-0.47106728	-1.5319196	0.010968922	0.70540357	1.0	4559	tags=44%, list=23%, signal=57%	
GO_EOSINOPHIL_CHEMOTAXIS	GO_EOSINOPHIL_CHEMOTAXIS		19	-0.626413	-1.5299829	0.021857923	0.7060845	1.0	4737	tags=42%, list=24%, signal=55%	
GO_ATP_METABOLIC_PROCESS	GO_ATP_METABOLIC_PROCESS		278	-0.40344995	-1.5261327	0.0	0.720301	1.0	3950	tags=32%, list=20%, signal=40%	
GO_T_CELL_RECEPTOR_COMPLEX	GO_T_CELL_RECEPTOR_COMPLEX		76	-0.46747655	-1.5233365	0.007259528	0.7276177	1.0	2857	tags=22%, list=15%, signal=26%	
GO_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	GO_REGULATION_OF_NERVOUS_SYSTEM_PROCESS		99	-0.45365116	-1.5207528	0.005244755	0.73345506	1.0	3935	tags=25%, list=20%, signal=31%	
GO_CHEMOREPELLENT_ACTIVITY	GO_CHEMOREPELLENT_ACTIVITY		22	-0.60163194	-1.5206994	0.03057554	0.72308534	1.0	3538	tags=36%, list=18%, signal=44%	
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION		19	-0.6089872	-1.5191265	0.04464286	0.72283053	1.0	2711	tags=37%, list=14%, signal=43%	
GO_POSITIVE_REGULATION_OF_KIDNEY_DEVELOPMENT	GO_POSITIVE_REGULATION_OF_KIDNEY_DEVELOPMENT		33	-0.54585224	-1.5187992	0.020183487	0.71465725	1.0	1767	tags=18%, list=9%, signal=20%	
GO_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND	GO_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND		31	-0.55534583	-1.5135263	0.02636204	0.7381366	1.0	1806	tags=19%, list=9%, signal=21%	
GO_PEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_PEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		31	-0.5525099	-1.5127076	0.020332716	0.73304486	1.0	5305	tags=45%, list=27%, signal=62%	
GO_COSTAMERE	GO_COSTAMERE		19	-0.6209337	-1.5109258	0.03539823	0.73405164	1.0	4010	tags=47%, list=20%, signal=59%	
GO_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS	GO_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS		31	-0.5549939	-1.5106374	0.021466905	0.7257441	1.0	2420	tags=32%, list=12%, signal=37%	
GO_RENAL_ABSORPTION	GO_RENAL_ABSORPTION		15	-0.655646	-1.5103846	0.025641026	0.7174404	1.0	2372	tags=40%, list=12%, signal=45%	
GO_MITOCHONDRIAL_PROTEIN_COMPLEX	GO_MITOCHONDRIAL_PROTEIN_COMPLEX		252	-0.40184018	-1.5091054	0.0034843206	0.71612525	1.0	4945	tags=40%, list=25%, signal=53%	
GO_T_TUBULE	GO_T_TUBULE		40	-0.52168906	-1.5073955	0.02698145	0.7177463	1.0	3906	tags=28%, list=20%, signal=34%	
GO_RESPIRASOME	GO_RESPIRASOME		94	-0.45378664	-1.50694	0.0017825312	0.71165836	1.0	4559	tags=44%, list=23%, signal=57%	
GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION	GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION		450	-0.38158712	-1.5068635	0.0	0.7031624	1.0	2900	tags=31%, list=15%, signal=35%	
GO_CELLULAR_RESPONSE_TO_INTERFERON_BETA	GO_CELLULAR_RESPONSE_TO_INTERFERON_BETA		16	-0.64490825	-1.504088	0.04945055	0.71155417	1.0	518	tags=25%, list=3%, signal=26%	
GO_REGULATION_OF_RESPIRATORY_BURST	GO_REGULATION_OF_RESPIRATORY_BURST		15	-0.65827256	-1.5022485	0.04789272	0.7142264	1.0	69	tags=27%, list=0%, signal=27%	
GO_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS	GO_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS		23	-0.58785695	-1.500308	0.025830258	0.717167	1.0	4156	tags=52%, list=21%, signal=66%	
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL		28	-0.5639318	-1.5002325	0.037102472	0.7088552	1.0	2639	tags=25%, list=13%, signal=29%	
GO_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	GO_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE		17	-0.63104737	-1.4994843	0.035650622	0.70503634	1.0	4403	tags=59%, list=22%, signal=76%	
GO_TUMOR_NECROSIS_FACTOR_RECEPTOR_SUPERFAMILY_BINDING	GO_TUMOR_NECROSIS_FACTOR_RECEPTOR_SUPERFAMILY_BINDING		44	-0.5189089	-1.4994708	0.016363636	0.69684875	1.0	2415	tags=25%, list=12%, signal=28%	
GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING		15	-0.6600775	-1.4910476	0.039106146	0.73987293	1.0	2414	tags=27%, list=12%, signal=30%	
GO_REGULATION_OF_CELLULAR_EXTRAVASATION	GO_REGULATION_OF_CELLULAR_EXTRAVASATION		27	-0.55462444	-1.48782	0.03202847	0.75168127	1.0	3298	tags=44%, list=17%, signal=53%	
GO_LAMELLIPODIUM_MEMBRANE	GO_LAMELLIPODIUM_MEMBRANE		21	-0.589251	-1.4866569	0.04553734	0.75059247	1.0	1961	tags=19%, list=10%, signal=21%	
GO_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS		43	-0.51157093	-1.4863535	0.03220036	0.7439654	1.0	3809	tags=40%, list=19%, signal=49%	
GO_POSITIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION	GO_POSITIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION		16	-0.63392	-1.4862674	0.04315197	0.7363404	1.0	4145	tags=56%, list=21%, signal=71%	
GO_RETINA_LAYER_FORMATION	GO_RETINA_LAYER_FORMATION		17	-0.62218696	-1.4860226	0.03409091	0.7298377	1.0	1517	tags=18%, list=8%, signal=19%	
GO_PROTEIN_SELF_ASSOCIATION	GO_PROTEIN_SELF_ASSOCIATION		52	-0.4942879	-1.4799616	0.024647888	0.7596377	1.0	2701	tags=31%, list=14%, signal=36%	
GO_COMPLEMENT_ACTIVATION	GO_COMPLEMENT_ACTIVATION		143	-0.41341975	-1.479155	0.0017605633	0.7566013	1.0	2380	tags=33%, list=12%, signal=37%	
GO_RESPONSE_TO_FUNGUS	GO_RESPONSE_TO_FUNGUS		35	-0.5309286	-1.4791293	0.033088237	0.7488114	1.0	884	tags=20%, list=5%, signal=21%	
GO_CHEMOKINE_RECEPTOR_BINDING	GO_CHEMOKINE_RECEPTOR_BINDING		53	-0.48308167	-1.4772598	0.018083183	0.75225514	1.0	5225	tags=36%, list=27%, signal=49%	
GO_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	GO_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS		51	-0.4850021	-1.4743986	0.020833334	0.7624743	1.0	3802	tags=41%, list=19%, signal=51%	
GO_OXIDATIVE_PHOSPHORYLATION	GO_OXIDATIVE_PHOSPHORYLATION		136	-0.420895	-1.473927	0.0017271157	0.7575219	1.0	3836	tags=37%, list=20%, signal=45%	
GO_XENOBIOTIC_METABOLIC_PROCESS	GO_XENOBIOTIC_METABOLIC_PROCESS		88	-0.45036152	-1.4727118	0.015706806	0.7578552	1.0	2970	tags=32%, list=15%, signal=37%	
GO_T_CELL_APOPTOTIC_PROCESS	GO_T_CELL_APOPTOTIC_PROCESS		46	-0.5011561	-1.4718734	0.03169014	0.75516725	1.0	2420	tags=28%, list=12%, signal=32%	
GO_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS	GO_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS		23	-0.57976574	-1.4717952	0.030852994	0.7480407	1.0	2372	tags=35%, list=12%, signal=40%	
GO_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	GO_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION		30	-0.54954046	-1.4716197	0.03731343	0.74187946	1.0	2711	tags=37%, list=14%, signal=42%	
GO_LYMPH_VESSEL_DEVELOPMENT	GO_LYMPH_VESSEL_DEVELOPMENT		24	-0.58138895	-1.4711295	0.041366905	0.7377521	1.0	2111	tags=38%, list=11%, signal=42%	
GO_AEROBIC_ELECTRON_TRANSPORT_CHAIN	GO_AEROBIC_ELECTRON_TRANSPORT_CHAIN		20	-0.594017	-1.4708741	0.04779412	0.73209316	1.0	1811	tags=40%, list=9%, signal=44%	
GO_T_CELL_ACTIVATION	GO_T_CELL_ACTIVATION		423	-0.37104172	-1.4666044	0.0	0.7515981	1.0	3048	tags=30%, list=16%, signal=34%	
GO_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	GO_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS		28	-0.54241383	-1.464892	0.037037037	0.75527	1.0	4967	tags=50%, list=25%, signal=67%	
GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING		24	-0.56929	-1.4644825	0.034671534	0.7504911	1.0	5267	tags=58%, list=27%, signal=80%	
GO_TUMOR_NECROSIS_FACTOR_RECEPTOR_BINDING	GO_TUMOR_NECROSIS_FACTOR_RECEPTOR_BINDING		31	-0.53247434	-1.4644568	0.036697246	0.7436662	1.0	2415	tags=26%, list=12%, signal=29%	
GO_REGULATION_OF_KIDNEY_DEVELOPMENT	GO_REGULATION_OF_KIDNEY_DEVELOPMENT		46	-0.49456662	-1.4640564	0.024137931	0.7390796	1.0	1767	tags=17%, list=9%, signal=19%	
GO_REGULATION_OF_PROTON_TRANSPORT	GO_REGULATION_OF_PROTON_TRANSPORT		19	-0.58495486	-1.463526	0.07027027	0.7356895	1.0	319	tags=16%, list=2%, signal=16%	
GO_MOTILE_CILIUM_ASSEMBLY	GO_MOTILE_CILIUM_ASSEMBLY		18	-0.6020752	-1.4625009	0.051509768	0.73490053	1.0	2375	tags=28%, list=12%, signal=32%	
GO_LABYRINTHINE_LAYER_MORPHOGENESIS	GO_LABYRINTHINE_LAYER_MORPHOGENESIS		18	-0.610232	-1.4618337	0.055258468	0.7319166	1.0	4082	tags=50%, list=21%, signal=63%	
GO_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		41	-0.5110883	-1.4583334	0.018867925	0.74533784	1.0	2034	tags=24%, list=10%, signal=27%	
GO_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT	GO_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT		17	-0.6172166	-1.4568886	0.06877323	0.7475748	1.0	1893	tags=35%, list=10%, signal=39%	
GO_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	GO_PROTEIN_LOCALIZATION_TO_CELL_SURFACE		56	-0.4743563	-1.4533556	0.022687608	0.7620402	1.0	5142	tags=46%, list=26%, signal=63%	
GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		111	-0.4304539	-1.4529433	0.007194245	0.7579791	1.0	2356	tags=23%, list=12%, signal=25%	
GO_EOSINOPHIL_MIGRATION	GO_EOSINOPHIL_MIGRATION		22	-0.5709206	-1.451728	0.040564373	0.75909054	1.0	4737	tags=45%, list=24%, signal=60%	
GO_NEGATIVE_REGULATION_OF_GENE_SILENCING_BY_MIRNA	GO_NEGATIVE_REGULATION_OF_GENE_SILENCING_BY_MIRNA		15	-0.6285298	-1.4516863	0.06272402	0.7528372	1.0	1876	tags=27%, list=10%, signal=29%	
GO_C4_DICARBOXYLATE_TRANSPORT	GO_C4_DICARBOXYLATE_TRANSPORT		16	-0.60908324	-1.4513112	0.06754221	0.7486696	1.0	2273	tags=25%, list=12%, signal=28%	
