NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_GOLGI_ASSOCIATED_VESICLE	GO_GOLGI_ASSOCIATED_VESICLE		160	0.42923093	1.5825932	0.0	0.5879521	1.0	2265	tags=18%, list=12%, signal=20%	
GO_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS		74	0.4758919	1.58211	0.007075472	0.5797497	1.0	1683	tags=19%, list=9%, signal=21%	
GO_PROTEIN_LOCALIZATION_TO_CHROMATIN	GO_PROTEIN_LOCALIZATION_TO_CHROMATIN		24	0.6119991	1.5786942	0.024229076	0.5845935	1.0	1605	tags=29%, list=8%, signal=32%	
GO_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	GO_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION		23	0.60699975	1.5735893	0.024498885	0.5972998	1.0	2787	tags=35%, list=14%, signal=40%	
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM		110	0.44625458	1.5697528	0.004796163	0.6040241	1.0	683	tags=31%, list=3%, signal=32%	
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME		93	0.45494807	1.5629522	0.009367681	0.62609076	1.0	2207	tags=23%, list=11%, signal=25%	
GO_MISMATCH_REPAIR	GO_MISMATCH_REPAIR		31	0.55483127	1.5613798	0.020089285	0.62313825	1.0	3791	tags=42%, list=19%, signal=52%	
GO_IMMUNOGLOBULIN_BINDING	GO_IMMUNOGLOBULIN_BINDING		21	0.60940534	1.5611763	0.040816326	0.61403924	1.0	1341	tags=24%, list=7%, signal=26%	
GO_NEURONAL_STEM_CELL_POPULATION_MAINTENANCE	GO_NEURONAL_STEM_CELL_POPULATION_MAINTENANCE		20	0.6152599	1.5569855	0.041002277	0.62321097	1.0	1873	tags=35%, list=10%, signal=39%	
GO_GLYCOSAMINOGLYCAN_BINDING	GO_GLYCOSAMINOGLYCAN_BINDING		182	0.4147766	1.5529476	0.0	0.6324588	1.0	2567	tags=16%, list=13%, signal=19%	
GO_LATE_ENDOSOME_MEMBRANE	GO_LATE_ENDOSOME_MEMBRANE		128	0.43813106	1.5505887	0.004761905	0.6335228	1.0	1021	tags=13%, list=5%, signal=14%	
GO_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	GO_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL		65	0.47536987	1.5501506	0.006637168	0.6256099	1.0	1070	tags=14%, list=5%, signal=15%	
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY		120	0.43624577	1.5495533	0.0093896715	0.618873	1.0	683	tags=28%, list=3%, signal=28%	
GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY		24	0.59762627	1.548838	0.026373627	0.6129136	1.0	4542	tags=50%, list=23%, signal=65%	
GO_REGULATION_OF_B_CELL_APOPTOTIC_PROCESS	GO_REGULATION_OF_B_CELL_APOPTOTIC_PROCESS		18	0.6317301	1.5453693	0.0369515	0.6195179	1.0	2034	tags=56%, list=10%, signal=62%	
GO_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY	GO_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY		26	0.5804408	1.5434651	0.022624435	0.6191496	1.0	1740	tags=31%, list=9%, signal=34%	
GO_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GO_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY		20	0.61177075	1.5410192	0.03267974	0.6214004	1.0	2172	tags=35%, list=11%, signal=39%	
GO_THYROID_GLAND_DEVELOPMENT	GO_THYROID_GLAND_DEVELOPMENT		18	0.62991995	1.5409753	0.024017468	0.6130293	1.0	4509	tags=50%, list=23%, signal=65%	
GO_ENDOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	GO_ENDOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY		25	0.5703882	1.5380926	0.039911307	0.61741924	1.0	3537	tags=40%, list=18%, signal=49%	
GO_HEPARIN_BINDING	GO_HEPARIN_BINDING		134	0.4256551	1.537745	0.0	0.6105961	1.0	3548	tags=22%, list=18%, signal=27%	
GO_NEGATIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	GO_NEGATIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT		15	0.6468847	1.5355414	0.064665124	0.6128696	1.0	2386	tags=27%, list=12%, signal=30%	
GO_POSITIVE_REGULATION_OF_DNA_RECOMBINATION	GO_POSITIVE_REGULATION_OF_DNA_RECOMBINATION		38	0.5298268	1.5343715	0.027210884	0.6101288	1.0	3622	tags=47%, list=18%, signal=58%	
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_1_SECRETION	GO_POSITIVE_REGULATION_OF_INTERLEUKIN_1_SECRETION		31	0.54921365	1.5333459	0.025700934	0.60680526	1.0	979	tags=16%, list=5%, signal=17%	
GO_COATED_VESICLE_MEMBRANE	GO_COATED_VESICLE_MEMBRANE		156	0.4194408	1.5297731	0.0023584906	0.61372524	1.0	2327	tags=20%, list=12%, signal=22%	
GO_NEGATIVE_REGULATION_OF_STEM_CELL_DIFFERENTIATION	GO_NEGATIVE_REGULATION_OF_STEM_CELL_DIFFERENTIATION		17	0.6142022	1.5261009	0.040632054	0.6219176	1.0	1652	tags=41%, list=8%, signal=45%	
GO_CHEMOKINE_PRODUCTION	GO_CHEMOKINE_PRODUCTION		81	0.45649487	1.5231825	0.00952381	0.6273822	1.0	1531	tags=16%, list=8%, signal=17%	
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM		133	0.42539498	1.521531	0.0025125628	0.62680846	1.0	1369	tags=34%, list=7%, signal=36%	
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	GO_DNA_DEPENDENT_ATPASE_ACTIVITY		104	0.43689328	1.5212541	0.018779343	0.6205563	1.0	4836	tags=48%, list=25%, signal=63%	
GO_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	GO_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY		51	0.49886766	1.5201272	0.020594966	0.617984	1.0	2263	tags=25%, list=12%, signal=29%	
GO_FEMALE_MEIOTIC_NUCLEAR_DIVISION	GO_FEMALE_MEIOTIC_NUCLEAR_DIVISION		26	0.5656659	1.5186691	0.028824834	0.6169973	1.0	2827	tags=35%, list=14%, signal=40%	
GO_ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	GO_ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS		21	0.58970493	1.5173283	0.045558088	0.6154043	1.0	1866	tags=29%, list=10%, signal=32%	
GO_LARGE_RIBOSOMAL_SUBUNIT	GO_LARGE_RIBOSOMAL_SUBUNIT		113	0.43333334	1.5171182	0.004962779	0.6091846	1.0	934	tags=21%, list=5%, signal=22%	
GO_PRE_MRNA_BINDING	GO_PRE_MRNA_BINDING		34	0.5382064	1.5167278	0.031026253	0.6039	1.0	2849	tags=32%, list=15%, signal=38%	
GO_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	GO_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION		18	0.6080444	1.5164486	0.0247191	0.5981002	1.0	2882	tags=44%, list=15%, signal=52%	
GO_PROTEIN_TRIMERIZATION	GO_PROTEIN_TRIMERIZATION		38	0.5210156	1.5164024	0.032258064	0.59165514	1.0	1059	tags=11%, list=5%, signal=11%	
GO_POSITIVE_REGULATION_OF_CHEMOKINE_SECRETION	GO_POSITIVE_REGULATION_OF_CHEMOKINE_SECRETION		16	0.6309327	1.5147349	0.04112554	0.59127384	1.0	979	tags=31%, list=5%, signal=33%	
GO_MONONUCLEAR_CELL_DIFFERENTIATION	GO_MONONUCLEAR_CELL_DIFFERENTIATION		33	0.55405104	1.5118074	0.042154565	0.59662074	1.0	905	tags=24%, list=5%, signal=25%	
GO_CELL_CYCLE_DNA_REPLICATION	GO_CELL_CYCLE_DNA_REPLICATION		64	0.46214586	1.49882	0.015981736	0.6461843	1.0	5157	tags=55%, list=26%, signal=74%	
GO_5_3_EXONUCLEASE_ACTIVITY	GO_5_3_EXONUCLEASE_ACTIVITY		16	0.6235655	1.4987766	0.054466233	0.63940626	1.0	2561	tags=44%, list=13%, signal=50%	
GO_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	GO_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS		42	0.5043606	1.4941754	0.027459955	0.65328854	1.0	4347	tags=43%, list=22%, signal=55%	
GO_MITOTIC_SISTER_CHROMATID_COHESION	GO_MITOTIC_SISTER_CHROMATID_COHESION		22	0.583486	1.4936664	0.042316258	0.6487317	1.0	1947	tags=41%, list=10%, signal=45%	
GO_SPLICEOSOMAL_COMPLEX	GO_SPLICEOSOMAL_COMPLEX		181	0.3999751	1.4921515	0.0	0.6486382	1.0	2836	tags=27%, list=14%, signal=31%	
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME	GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME		77	0.4546966	1.4918547	0.01891253	0.6432283	1.0	2861	tags=31%, list=15%, signal=36%	
GO_TRANSLATIONAL_INITIATION	GO_TRANSLATIONAL_INITIATION		184	0.40282777	1.4911317	0.006976744	0.63962454	1.0	1655	tags=29%, list=8%, signal=32%	
GO_REGULATION_OF_CELL_CYCLE_ARREST	GO_REGULATION_OF_CELL_CYCLE_ARREST		101	0.43590808	1.4898756	0.013363029	0.63867563	1.0	2058	tags=25%, list=10%, signal=28%	
GO_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY	GO_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY		18	0.60885286	1.4892427	0.043196544	0.6346387	1.0	378	tags=11%, list=2%, signal=11%	
GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR		31	0.53972656	1.4876444	0.047516197	0.63570553	1.0	3622	tags=42%, list=18%, signal=51%	
GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		101	0.42843324	1.4870943	0.0071770335	0.6316358	1.0	3131	tags=23%, list=16%, signal=27%	
GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS		39	0.51023495	1.4832585	0.03504673	0.6424485	1.0	2827	tags=33%, list=14%, signal=39%	
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS		15	0.63710684	1.4829276	0.054229934	0.6376508	1.0	1194	tags=27%, list=6%, signal=28%	
GO_PROTEIN_TARGETING_TO_MEMBRANE	GO_PROTEIN_TARGETING_TO_MEMBRANE		181	0.40189853	1.4828081	0.0	0.6321869	1.0	934	tags=23%, list=5%, signal=24%	
GO_IMMUNE_RECEPTOR_ACTIVITY	GO_IMMUNE_RECEPTOR_ACTIVITY		113	0.42481795	1.481775	0.009478673	0.630844	1.0	549	tags=12%, list=3%, signal=13%	
GO_CHEMOKINE_SECRETION	GO_CHEMOKINE_SECRETION		19	0.5998671	1.4808991	0.050772626	0.6286778	1.0	979	tags=32%, list=5%, signal=33%	
GO_NUCLEAR_REPLICATION_FORK	GO_NUCLEAR_REPLICATION_FORK		41	0.49741617	1.4800032	0.02455357	0.6265464	1.0	4043	tags=44%, list=21%, signal=55%	
GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY		31	0.52981895	1.478751	0.047727272	0.62636113	1.0	3684	tags=39%, list=19%, signal=48%	
GO_SISTER_CHROMATID_COHESION	GO_SISTER_CHROMATID_COHESION		53	0.47859022	1.4773468	0.0225	0.62691325	1.0	1947	tags=28%, list=10%, signal=31%	
GO_NUCLEAR_HETEROCHROMATIN	GO_NUCLEAR_HETEROCHROMATIN		31	0.53316534	1.4767168	0.049661398	0.6242199	1.0	4006	tags=42%, list=20%, signal=53%	
GO_SODIUM_CHANNEL_ACTIVITY	GO_SODIUM_CHANNEL_ACTIVITY		29	0.537962	1.4752464	0.03153153	0.62459916	1.0	834	tags=14%, list=4%, signal=14%	
GO_POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	GO_POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION		41	0.49154353	1.4751432	0.024498885	0.6195414	1.0	3757	tags=39%, list=19%, signal=48%	
